Filename,Average it/s,Standard Deviation,Mean Accuracy,Standard Deviation Accuracy
log_affinity_GS.txt,5.55,0.31,64.09,4.32
log_algebraic_JC.txt,5.63,0.33,57.31,7.71
log_averaging.txt,5.17,0.35,75.7,0.5
log_cadm.txt,0,0,0,0
log_cent_d.txt,5.52,0.33,75.01,0.77
log_cent_p.txt,5.7,0.36,67.64,1.46
log_clustering.txt,5.25,0.44,77.12,0.43
log_disco.txt,0,0,0,0
log_doscond.txt,0,0,0,0
log_doscondx.txt,0,0,0,0
log_gcond.txt,0,0,0,0
log_gcondx.txt,0,0,0,0
log_gcsntk.txt,65.65,28.36,0,0
log_geom.txt,5.45,0.06,78.29,0.41
log_heavy_edge.txt,0,0,0,0
log_herding.txt,5.54,0.13,72.36,0.8
log_kcenter.txt,5.89,0.1,73.96,0.61
log_kron.txt,5.59,0.3,61.3,5.32
log_msgc.txt,0,0,0,0
log_random.txt,4.83,0.58,71.09,0.45
log_random_edge.txt,4.76,0.26,79.03,0.46
log_sfgc.txt,5.78,0.07,77.94,0.48
log_sgdd.txt,0,0,0,0
log_variation_cliques.txt,5.54,0.26,60.96,5.06
log_variation_edges.txt,5.15,0.62,54.35,11.93
log_variation_neighborhoods.txt,5.67,0.32,49.09,7.07
log_vng.txt,0,0,0,0
